MSA,MSA Title,Counties
32820,"Memphis, TN-MS-AR","Crittenden County, Benton County, DeSoto County, Marshall County, Tate County, Tunica County, Fayette County, Shelby County, Tipton County"
23540,"Gainesville, FL","Alachua County, Gilchrist County"
13900,"Bismarck, ND","Burleigh County, Morton County, Oliver County, Sioux County"
33340,"Milwaukee-Waukesha-West Allis, WI","Milwaukee County, Ozaukee County, Washington County, Waukesha County"
17140,"Cincinnati, OH-KY-IN","Dearborn County, Ohio County, Union County, Boone County, Bracken County, Campbell County, Gallatin County, Grant County, Kenton County, Pendleton County, Brown County, Butler County, Clermont County, Hamilton County, Warren County"
31080,"Los Angeles-Long Beach-Anaheim, CA","Orange County, Los Angeles County"
26900,"Indianapolis-Carmel-Anderson, IN","Boone County, Brown County, Hamilton County, Hancock County, Hendricks County, Johnson County, Madison County, Marion County, Morgan County, Putnam County, Shelby County"
36740,"Orlando-Kissimmee-Sanford, FL","Lake County, Orange County, Osceola County, Seminole County"
45300,"Tampa-St. Petersburg-Clearwater, FL","Hernando County, Hillsborough County, Pasco County, Pinellas County"
45780,"Toledo, OH","Fulton County, Lucas County, Wood County"
41860,"San Francisco-Oakland-Hayward, CA","Alameda County, Contra Costa County, San Francisco County, San Mateo County, Marin County"
38300,"Pittsburgh, PA","Allegheny County, Armstrong County, Beaver County, Butler County, Fayette County, Washington County, Westmoreland County"
36260,"Ogden-Clearfield, UT","Box Elder County, Davis County, Morgan County, Weber County"
46220,"Tuscaloosa, AL","Hale County, Pickens County, Tuscaloosa County"
35620,"New York-Newark-Jersey City, NY-NJ-PA","Dutchess County, Bergen County, Bronx County, Essex County, Hudson County, Hunterdon County, Kings County, Middlesex County, Monmouth County, Morris County, Nassau County, New York County, Ocean County, Orange County, Passaic County, Pike County, Putnam County, Queens County, Richmond County, Rockland County, Somerset County, Suffolk County, Sussex County, Union County, Westchester County"
38940,"Port St. Lucie, FL","Martin County, St. Lucie County"
43780,"South Bend-Mishawaka, IN-MI","St. Joseph County, Cass County"
45820,"Topeka, KS","Jackson County, Jefferson County, Osage County, Shawnee County, Wabaunsee County"
35380,"New Orleans-Metairie, LA","Jefferson Parish, Orleans Parish, Plaquemines Parish, St. Bernard Parish, St. Charles Parish, St. James Parish, St. John the Baptist Parish, St. Tammany Parish"
36420,"Oklahoma City, OK","Canadian County, Cleveland County, Grady County, Lincoln County, Logan County, McClain County, Oklahoma County"
39340,"Provo-Orem, UT","Juab County, Utah County"
37860,"Pensacola-Ferry Pass-Brent, FL","Escambia County, Santa Rosa County"
38900,"Portland-Vancouver-Hillsboro, OR-WA","Clackamas County, Columbia County, Multnomah County, Washington County, Yamhill County, Clark County, Skamania County"
44420,"Staunton-Waynesboro, VA","Augusta County, Staunton city, Waynesboro city"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN","Cannon County, Cheatham County, Davidson County, Dickson County, Hickman County, Macon County, Maury County, Robertson County, Rutherford County, Smith County, Sumner County, Trousdale County, Williamson County, Wilson County"
41180,"St. Louis, MO-IL","Bond County, Calhoun County, Clinton County, Jersey County, Macoupin County, Madison County, Monroe County, St. Clair County, Franklin County, Jefferson County, Lincoln County, St. Charles County, St. Louis County, Warren County, St. Louis city"
48620,"Wichita, KS","Butler County, Harvey County, Kingman County, Sedgwick County, Sumner County"
42660,"Seattle-Tacoma-Bellevue, WA","King County, Snohomish County, Pierce County"
22500,"Florence, SC","Darlington County, Florence County"
